seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
67,S100WBZP,E21553,36280,9240001012318,株式会社データホライゾン,,010,053000,180,,,2025-07-09 10:08,臨時報告書,,,,第19条第2項第19号,,,0,0,0,1,1,0,0,1,1
68,S100WBZO,E02498,80020,9010001008776,丸紅株式会社,,010,170000,220,,,2025-07-09 10:14,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
69,S100WBLS,E11943,,,Ｅｖｏ　Ｆｕｎｄ,,060,020002,350,,,2025-07-09 10:19,変更報告書（短期大量譲渡）,E03160,,,,S100VFQ5,,0,0,0,1,1,1,0,1,1
70,S100WC03,E10725,,,上田　満弘,,060,090001,360,,,2025-07-09 10:29,訂正報告書（大量保有報告書・変更報告書）,E03465,,,,S100WBUZ,,0,0,0,1,1,0,0,1,1
71,S100WC07,E02328,63230,9240001029584,ローツェ株式会社,,010,170000,220,,,2025-07-09 10:30,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
72,S100WC04,E25850,36590,6010001081280,株式会社ネクソン,,010,170000,220,,,2025-07-09 10:30,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
73,S100WC0Q,E27633,32890,2011001096933,東急不動産ホールディングス株式会社,,010,120003,100,,,2025-07-09 11:02,発行登録追補書類（株券､社債券等）,,,,,S100SDFV,,0,0,0,1,1,1,0,1,1
74,S100WC0T,E26510,,,西江　肇司,,060,010002,350,,,2025-07-09 11:10,変更報告書,E35354,,,,S100IBX8,,0,0,0,1,1,0,0,1,1
75,S100WBVW,E38627,,,磯川　武志,,060,010000,350,,,2025-07-09 11:16,大量保有報告書,E02920,,,,,,0,0,0,1,1,0,0,1,1
76,S100WC10,E02843,74880,4180001041518,株式会社ヤガミ,,010,053000,180,,,2025-07-09 11:19,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
