要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jppfs_cor:DividendsFromSurplus,剰余金の配当,Prior1YearDuration_RetainedEarningsMember,前期,連結,期間,JPY,円,-11377000000
jppfs_cor:DividendsFromSurplus,剰余金の配当,Prior1YearDuration_ShareholdersEquityMember,前期,連結,期間,JPY,円,-11377000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Prior1YearDuration_RetainedEarningsMember,前期,連結,期間,JPY,円,20399000000
jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Prior1YearDuration_ShareholdersEquityMember,前期,連結,期間,JPY,円,20399000000
jppfs_cor:PurchaseOfTreasuryStock,自己株式の取得,Prior1YearDuration_TreasuryStockMember,前期,連結,期間,JPY,円,-0
jppfs_cor:PurchaseOfTreasuryStock,自己株式の取得,Prior1YearDuration_ShareholdersEquityMember,前期,連結,期間,JPY,円,-0
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_CapitalStockMember,前期,連結,期間,JPY,円,1000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_CapitalSurplusMember,前期,連結,期間,JPY,円,1000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_RetainedEarningsMember,前期,連結,期間,JPY,円,9022000000
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_TreasuryStockMember,前期,連結,期間,JPY,円,-0
jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Prior1YearDuration_ShareholdersEquityMember,前期,連結,期間,JPY,円,9023000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_CapitalStockMember,前期末,連結,時点,JPY,円,42383000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_CapitalSurplusMember,前期末,連結,時点,JPY,円,40701000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_RetainedEarningsMember,前期末,連結,時点,JPY,円,326301000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_TreasuryStockMember,前期末,連結,時点,JPY,円,-8000000
jppfs_cor:NetAssets,純資産,Prior1YearInstant_ShareholdersEquityMember,前期末,連結,時点,JPY,円,409377000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_ValuationDifferenceOnAvailableForSaleSecuritiesMember,前々期末,連結,時点,JPY,円,1120000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_ForeignCurrencyTranslationAdjustmentMember,前々期末,連結,時点,JPY,円,39474000000
jppfs_cor:NetAssets,純資産,Prior2YearInstant_RemeasurementsOfDefinedBenefitPlansMember,前々期末,連結,時点,JPY,円,-453000000
